Generation Max Avg Min
807 6768 3509.8 20 
808 6768 3369.1 2 
809 6768 3103.2 2 
810 6768 3678.2 6 
811 6768 3627.6 4 
812 6768 3258.2 2 
813 6768 2768.0 2 
814 6768 3241.0 6 
815 6768 3525.2 4 
816 6768 3829.4 2 
817 6768 3425.4 1 
818 6768 3393.3 4 
819 6768 2972.6 2 
820 6768 3048.1 1 
821 6768 3882.6 2 
822 6768 2953.9 6 
823 6768 2650.1 2 
824 6768 3390.8 2 
825 6768 3420.9 2 
826 6768 2955.8 2 
827 6768 3518.1 1 
828 6768 3746.0 2 
829 6768 3134.4 2 
830 6768 3977.9 2 
831 6768 3780.6 4 
832 6768 3971.6 2 
833 6768 3429.6 2 
834 6768 3738.6 4 
835 6768 3442.0 4 
836 6768 3444.6 2 
837 6768 3918.8 2 
838 6768 3463.3 2 
839 6768 3342.2 2 
840 6768 4215.8 2 
841 6768 3867.9 2 
842 6768 3987.0 2 
843 6768 3184.0 2 
844 6768 3728.4 2 
845 6768 2994.0 4 
846 6768 2985.5 4 
847 6768 3394.0 2 
848 8200 4079.2 104 
849 8200 3430.6 2 
850 8200 4072.4 4 
851 8200 3250.3 5 
852 8200 3237.0 2 
853 8200 3045.5 1 
854 8200 3426.3 5 
855 8200 3167.5 2 
856 8200 3472.6 2 
857 8200 3325.3 5 
858 8200 3130.8 2 
859 8200 3500.2 2 
860 8200 3494.0 4 
861 8200 3410.9 5 
862 8200 3303.1 1 
863 8200 3159.4 2 
864 8200 3177.0 2 
865 8200 3174.8 2 
866 8200 3270.6 2 
867 8200 3086.5 2 
868 8200 3128.0 2 
869 8200 3806.3 2 
870 8200 3460.9 2 
871 8200 3610.4 1 
872 8200 3400.6 12 
873 8200 3691.6 2 
874 8200 3675.0 2 
875 8200 3386.0 2 
876 8200 3608.5 2 
877 8200 3944.4 44 
878 8200 3502.4 2 
879 8200 3697.0 1 
880 8200 3511.6 2 
881 8200 3255.2 12 
882 8200 3027.2 2 
883 8200 3293.6 2 
884 8200 3038.8 2 
885 8200 3449.6 2 
886 8200 3324.3 2 
887 8200 3672.2 6 
888 8200 3280.4 2 
889 8200 3976.2 2 
890 8200 3756.4 2 
891 8200 4269.2 2 
892 8200 4544.7 2 
893 8200 4001.8 268 
894 8200 4564.8 10 
895 8200 3770.1 1 
896 8200 4232.0 8 
897 8200 3871.6 2 
898 8200 4425.0 1 
899 8200 4274.5 2 
900 8200 3666.4 2 
901 8200 4933.2 40 
902 8200 3695.6 2 
903 8200 3233.9 1 
904 8200 3671.0 2 
905 8200 3283.8 1 
906 8200 3336.0 2 
907 8200 3284.3 1 
908 8200 3239.3 2 
909 8200 4320.8 4 
910 8200 3372.3 1 
911 8200 3553.0 2 
912 8200 4671.8 2 
913 8200 3398.0 2 
914 8200 3545.6 2 
915 8200 3399.5 1 
916 8200 3923.6 6 
917 8200 3859.0 2 
918 8200 3658.6 2 
919 8200 3494.2 2 
920 8200 3502.7 2 
921 8200 3654.6 2 
922 8200 3917.4 2 
923 8200 3726.6 3 
924 8200 3679.0 2 
925 8200 3262.9 1 
926 8200 3850.4 2 
927 8200 3436.4 2 
928 8200 3361.6 2 
929 8200 3587.2 4 
930 8200 3602.2 2 
931 8200 3486.6 2 
932 8200 3613.6 2 
933 8200 3977.2 4 
934 8200 3649.2 2 
935 8200 3817.8 2 
936 8200 3355.0 2 
937 8200 4295.3 1 
938 8200 3528.3 1 
939 8200 3503.0 2 
940 8200 3624.8 2 
941 8200 3447.8 2 
942 8200 3442.9 1 
943 8200 3505.8 1 
944 8200 4835.2 4 
945 8200 5173.1 5 
946 8200 4749.0 2 
947 8200 3938.0 2 
948 8200 4882.2 2 
949 8200 4925.4 2 
950 8200 5036.2 2 
951 8200 3770.8 4 
952 8200 4057.5 5 
953 8200 3903.0 2 
954 8200 3856.4 2 
955 8200 3744.1 1 
956 8200 4778.4 2 
957 8200 5053.8 1 
958 8200 3578.0 52 
959 8200 4456.4 2 
960 8200 3614.0 2 
961 8200 3397.5 2 
962 8200 4344.7 6 
963 8200 5171.6 2 
964 8200 5551.0 12 
965 8200 3678.4 1 
966 8200 4712.4 1 
967 8200 5115.2 18 
968 8200 5244.6 2 
969 8200 5399.9 1 
970 8200 5092.0 30 
971 8200 4964.2 2 
972 8200 5136.6 32 
973 8200 5042.4 2 
974 8200 5205.6 2 
975 8200 5156.3 3 
976 8200 5281.4 2 
977 8200 3670.2 2 
978 8200 3862.1 2 
979 8200 4485.3 2 
980 8200 5358.4 2 
981 8200 5257.0 6 
982 8200 5066.4 2 
983 8200 5316.4 56 
984 8200 5069.9 1 
985 8200 4991.7 5 
986 8200 5084.8 104 
987 8200 5040.6 4 
988 8200 4986.7 2 
989 8200 5869.3 4 
990 8200 4374.2 2 
991 8200 5172.4 32 
992 8200 4969.8 2 
993 8200 5002.4 20 
994 8200 5759.0 534 
995 8200 3740.6 2 
996 8200 3695.4 2 
997 8200 4535.1 2 
998 8200 5188.7 2 
999 8200 5020.6 4 
1000 8200 5045.6 2 
1001 8200 5006.2 2 
1002 8200 4988.1 2 
1003 8200 5013.6 12 
1004 8200 4930.1 2 
1005 8200 5439.0 1 
1006 8200 4928.1 2 
1007 8200 5007.9 4 
1008 8200 5086.3 2 
1009 8200 5120.4 2 
1010 8200 4998.4 2 
1011 8200 5744.4 12 
1012 8200 5310.8 2 
1013 8200 5134.8 2 
1014 8200 5524.8 2 
1015 8200 5073.8 2 
1016 8200 5468.4 24 
1017 8200 5445.8 1 
1018 8200 5081.4 2 
1019 8200 5481.4 8 
1020 8200 5076.8 2 
1021 8200 3593.9 1 
1022 8200 4287.5 1 
1023 8200 5042.8 12 
1024 8200 4922.1 2 
1025 8200 5036.8 12 
1026 8200 5692.3 2 
1027 8200 5570.4 4 
1028 8200 5277.6 4 
1029 8200 4927.0 2 
1030 8200 5355.2 2 
1031 8200 4052.4 2 
1032 8200 4743.3 2 
1033 8200 3864.6 6 
1034 8200 4601.3 1 
1035 8200 4929.6 2 
1036 8200 4984.0 8 
1037 8200 5012.2 2 
1038 8200 5124.4 2 
1039 8200 3563.8 2 
1040 8200 4673.8 2 
1041 8200 5021.6 2 
1042 8200 5277.4 2 
1043 8200 3712.3 1 
1044 8200 4552.6 4 
1045 8200 3833.4 10 
1046 8200 5101.2 12 
1047 8200 5771.6 84 
1048 8200 4925.7 2 
